iv,x,y,z,boundary_flag,normal_x,normal_y,normal_z
0,0.1321753670339925,0.03514779534229479,1,1,0,0,1
1,0.8675895980638026,0.03480885460060958,1,1,0,0,1
2,0.9614710101278526,0,0.9614710101278526,1,0,-1,0
3,0.919499581477516,0,0.9567396377051955,1,0,-1,0
4,0.8684210526312313,0,0.9544197155901737,1,0,-1,0
5,1,0.03852898987212357,0.9614710101278106,1,1,0,0
6,0.9614710101278108,0.03852898987212358,1,1,0,0,1
7,0.9568154158598616,0.08075804338119993,1,1,0,0,1
8,0.9167856730332091,0.04765287843211305,1,1,0,0,1
9,0.03852898987212357,0,0.9614710101278106,1,0,-1,0
10,0.1298804709743124,0,0.9574701861948036,1,0,-1,0
11,0.07940849256118331,0,0.9575123841235784,1,0,-1,0
12,0.0385289898721746,0.03852898987226181,1,1,0,0,1
13,0.08572580723007378,0.04848209840853274,1,1,0,0,1
14,0.04440506865357978,0.08098290182113813,1,1,0,0,1
15,0.2347358535139961,0.03463142415463849,1,1,0,0,1
16,0.1837262105779187,0.04676542214308008,1,1,0,0,1
17,0.236943987203904,0,0.9568324859063054,1,0,-1,0
18,0.1536908513990736,0,0.9143819918932664,1,0,-1,0
19,0.1816402346149791,0,0.9585515227104442,1,0,-1,0
20,0.7631578947362172,0.03587310681946201,1,1,0,0,1
21,0.7716329968130858,0.07909589214865201,1,1,0,0,1
22,0.8665354616147781,0.07867662457534418,1,1,0,0,1
23,0.817784750408563,0.04771476999559073,1,1,0,0,1
24,0.9523317238186881,0,0.9162197042598343,1,0,-1,0
25,1,0.08081260807759041,0.9565681339660104,1,1,0,0
26,1,0.04766827618077454,0.9162197042602855,1,1,0,0
27,0.9558030069836398,0.131578947368164,1,1,0,0,1
28,0.895135405919768,0,0.9103189360435119,1,0,-1,0
29,0.9119684581697627,0.1045624229555278,1,1,0,0,1
30,0.9653040349936302,0,0.8670371632416846,1,0,-1,0
31,0.9213652861335256,0,0.8654316726787507,1,0,-1,0
32,1,0.03459261404389828,0.8667726341206198,1,1,0,0
33,0.03128547067451574,0,0.8684210526312313,1,0,-1,0
34,0.1013853525343106,0,0.9143752184415328,1,0,-1,0
35,0.07392719698788811,0,0.8669759690124562,1,0,-1,0
